VEHICLE NO,VEH TYPE,DRIVER NAME,MAX CAPACITY
OR02Z2298,4-wheeler,Rakesh Singh,500
OR02Z2299,4-wheeler,A N Satyamurthy,400
OR02Z2300,4-wheeler,Subramanyam,500
OR02Z2301,4-wheeler,R Nagaramani,600
OR02N4510,4-wheeler,Sukant Senapati,300
OR03B4453,4-wheeler,Anuranjan,400
OR02N5489,4-wheeler,Venkatesh Singh,800
OR07V6109,4-wheeler,Ankush Agarwal,600
OR07N3700,4-wheeler,Anish Sarangi,600
OR09B2219,4-wheeler,Brajesh Biswal,900
OR06X1209,4-wheeler,Aarush Agarwal,300
OR093V2199,4-wheeler,Saswat Tripathy,400
OR05A3209,4-wheeler,Ashish Ojha,700
OR22R7879,4-wheeler,Asutosh Jha,800
OR54Z9898,4-wheeler,Aditya Sahu,700
OR11F4545,4-wheeler,Asutosh Sahu,500
OR21V5455,4-wheeler,Ristesh Singhaniya,600
OR11Z5633,4-wheeler,Sunanta Rajpal,500
OR09X1298,4-wheeler,Simanchal Singh,700
